Date,Chan1,Chan2,Chan3,Chan4,Chan5,Chan6,Chan7,Chan8
2024.10.20 13:41:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:41:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:42:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:42:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:43:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:43:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:44:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:44:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:45:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:45:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:46:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:46:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:47:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:47:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:48:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:48:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:49:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:49:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:50:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:50:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:51:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:51:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:52:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:52:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:53:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:53:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:54:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:54:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:55:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:55:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:56:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:56:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:57:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:57:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:58:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:58:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:59:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 13:59:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 19:38:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 19:39:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 19:39:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:27:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:28:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:28:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:29:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:29:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:30:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:30:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:31:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:31:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:32:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:32:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:33:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:33:30,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:34:00,24930,25444,25958,26472,23278,4744,43316,4812
2024.10.20 22:34:30,24930,25444,25958,26472,23278,4744,43316,4812
